FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
21169,Metcalfe County,KY,50.8,7717.0
48245,Jefferson County,TX,62.4,191034.0
21139,Livingston County,KY,60.5,7334.0
01113,Russell County,AL,51.9,43974.0
42083,McKean County,PA,60.4,32567.0
31163,Sherman County,NE,48.3,2361.0
08039,Elbert County,CO,45.0,21051.0
18047,Franklin County,IN,49.1,17514.0
54065,Morgan County,WV,48.0,14711.0
28017,Chickasaw County,MS,62.4,12839.0
22127,Winn Parish,LA,59.2,11040.0
54061,Monongalia County,WV,65.3,88358.0
31027,Cedar County,NE,54.5,6283.0
29021,Buchanan County,MO,47.8,67817.0
21025,Breathitt County,KY,61.9,10003.0
37055,Dare County,NC,95.0,30088.0
37043,Clay County,NC,68.1,9352.0
13069,Coffee County,GA,47.4,32708.0
29055,Crawford County,MO,42.0,18537.0
13297,Walton County,GA,52.3,71492.0
06075,San Francisco County,CA,89.5,763379.0
28025,Clay County,MS,57.7,14994.0
55009,Brown County,WI,77.0,202324.0
38097,Traill County,ND,66.3,6205.0
27089,Marshall County,MN,60.8,7196.0
18125,Pike County,IN,72.4,9692.0
19153,Polk County,IA,80.5,369162.0
17107,Logan County,IL,63.0,23117.0
34023,Middlesex County,NJ,84.6,646270.0
45039,Fairfield County,SC,74.9,18108.0
38089,Stark County,ND,48.5,22941.0
72005,Aguadilla Municipio,PR,89.3,41107.0
38017,Cass County,ND,72.2,140954.0
09013,Tolland County,CT,74.2,124818.0
42037,Columbia County,PA,71.6,53571.0
01087,Macon County,AL,56.5,14972.0
21177,Muhlenberg County,KY,61.9,24386.0
22085,Sabine Parish,LA,49.3,18376.0
31123,Morrill County,NE,44.4,3605.0
17153,Pulaski County,IL,55.2,4199.0
02180,Nome Census Area,AK,86.0,6544.0
17019,Champaign County,IL,72.8,170397.0
36059,Nassau County,NY,95.0,1065968.0
37099,Jackson County,NC,65.5,36721.0
40021,Cherokee County,OK,58.7,38112.0
28063,Jefferson County,MS,81.1,5439.0
49011,Davis County,UT,82.3,242674.0
16007,Bear Lake County,ID,61.6,4478.0
47145,Roane County,TN,53.1,43445.0
39073,Hocking County,OH,58.8,22123.0
42027,Centre County,PA,67.0,138326.0
37039,Cherokee County,NC,71.0,23877.0
53057,Skagit County,WA,79.1,101425.0
20133,Neosho County,KS,35.1,12082.0
17073,Henry County,IL,70.6,38104.0
01077,Lauderdale County,AL,56.8,74683.0
02050,Bethel Census Area,AK,81.6,11848.0
01019,Cherokee County,AL,38.3,21249.0
20069,Gray County,KS,61.1,4265.0
12129,Wakulla County,FL,53.5,26751.0
20177,Shawnee County,KS,73.9,135735.0
56033,Sheridan County,WY,64.3,24047.0
26043,Dickinson County,MI,81.7,20178.0
36007,Broome County,NY,73.4,153683.0
26027,Cass County,MI,53.4,41124.0
47169,Trousdale County,TN,43.6,9268.0
42049,Erie County,PA,71.6,212712.0
42097,Northumberland County,PA,69.5,73081.0
22017,Caddo Parish,LA,59.8,183879.0
48225,Houston County,TX,50.5,18428.0
28107,Panola County,MS,59.9,25773.0
26147,St. Clair County,MI,59.3,126529.0
56029,Park County,WY,56.8,23235.0
42043,Dauphin County,PA,77.6,215697.0
50005,Caledonia County,VT,41.3,24255.0
47127,Moore County,TN,26.7,5234.0
27163,Washington County,MN,80.7,198767.0
04003,Cochise County,AZ,77.8,98949.0
48075,Childress County,TX,55.5,5918.0
21155,Marion County,KY,62.4,14636.0
27001,Aitkin County,MN,68.3,13268.0
26129,Ogemaw County,MI,54.7,17100.0
20059,Franklin County,KS,64.5,19502.0
54083,Randolph County,WV,64.9,23266.0
45043,Georgetown County,SC,63.9,51441.0
18139,Rush County,IN,59.1,12836.0
